metric,value
total_pairs,13671.0
wins,8326.0
losses,4869.0
ties,476.0
win_ratio,1.7100020538098173
decided_pairs,13195.0
decided_pct,0.9651817716333846
ties_pct,0.03481822836661547
net_benefit,0.2528710408894741
tier1_wins,180.0
tier1_losses,435.0
tier1_resolved,615.0
tier1_resolved_pct,0.04498573622997586
tier1_cum_wr,0.41379310344827586
tier2_wins,2325.0
tier2_losses,1712.0
tier2_resolved,4037.0
tier2_resolved_pct,0.2952966132689635
tier2_cum_wr,1.1667442943642292
tier3_wins,1110.0
tier3_losses,594.0
tier3_resolved,1704.0
tier3_resolved_pct,0.12464340574939653
tier3_cum_wr,1.3188617292958775
tier4_wins,432.0
tier4_losses,186.0
tier4_resolved,618.0
tier4_resolved_pct,0.045205178845731844
tier4_cum_wr,1.382644345746498
tier5_wins,488.0
tier5_losses,302.0
tier5_resolved,790.0
tier5_resolved_pct,0.05778655548240802
tier5_cum_wr,1.4044595850108392
tier6_wins,3791.0
tier6_losses,1640.0
tier6_resolved,5431.0
tier6_resolved_pct,0.3972642820569088
tier6_cum_wr,1.7100020538098173
