metric,value
total_pairs,258.0
wins,161.0
losses,86.0
ties,11.0
win_ratio,1.872093023255814
decided_pairs,247.0
decided_pct,0.9573643410852714
ties_pct,0.04263565891472868
net_benefit,0.29069767441860467
tier1_wins,1.0
tier1_losses,1.0
tier1_resolved,2.0
tier1_resolved_pct,0.007751937984496124
tier1_cum_wr,1.0
tier2_wins,32.0
tier2_losses,19.0
tier2_resolved,51.0
tier2_resolved_pct,0.19767441860465115
tier2_cum_wr,1.65
tier3_wins,29.0
tier3_losses,27.0
tier3_resolved,56.0
tier3_resolved_pct,0.21705426356589147
tier3_cum_wr,1.3191489361702127
tier4_wins,10.0
tier4_losses,7.0
tier4_resolved,17.0
tier4_resolved_pct,0.06589147286821706
tier4_cum_wr,1.3333333333333333
tier5_wins,89.0
tier5_losses,32.0
tier5_resolved,121.0
tier5_resolved_pct,0.4689922480620155
tier5_cum_wr,1.872093023255814
