covariate,term,kind,mean_treated,mean_control,smd,abs_smd,variance_ratio,ks,stage
age_years,age_years,numeric,59.839171974522294,60.28232848232848,-0.030380254706967178,0.030380254706967178,0.9424114596730075,0.04203689235536373,before_matching
sex,sex=FEMALE,categorical,0.5573248407643312,0.6029106029106029,-0.09246364558773562,0.09246364558773562,1.0305103082189997,0.04558576214627169,before_matching
sex,sex=MALE,categorical,0.4426751592356688,0.3970893970893971,0.09246364558773552,0.09246364558773552,1.0305103082190001,0.04558576214627175,before_matching
bmi,bmi,numeric,26.15955414012739,26.316216216216215,-0.03126555439688526,0.03126555439688526,1.1834312176134816,0.049478925275103613,before_matching
asa_ge3,asa_ge3,numeric,0.40445859872611467,0.4303534303534304,-0.052529163439685424,0.052529163439685424,0.9825513932599492,0.02589483162731565,before_matching
cci,cci,numeric,1.3439490445859872,1.2972972972972974,0.039728645310209955,0.039728645310209955,0.9902701964782625,0.03771336255412694,before_matching
malignant_case,malignant_case,numeric,0.3630573248407643,0.3471933471933472,0.03315455997497072,0.03315455997497072,1.020280495431111,0.015863977647417205,before_matching
pathology_group,pathology_group=DUCTAL_ADENOCARCINOMA,categorical,0.30254777070063693,0.29313929313929316,0.020574595023430876,0.020574595023430876,1.0183581584317412,0.009408477561343886,before_matching
pathology_group,pathology_group=IPMN,categorical,0.14968152866242038,0.1683991683991684,-0.051197893939489224,0.051197893939489224,0.9088557636249984,0.018717639736748004,before_matching
pathology_group,pathology_group=NEUROENDOCRINE,categorical,0.21337579617834396,0.20582120582120583,0.018561439693020647,0.018561439693020647,1.0268430193627343,0.0075545903571381245,before_matching
pathology_group,pathology_group=OTHER,categorical,0.2770700636942675,0.27234927234927236,0.01057615875747514,0.01057615875747514,1.010733421114675,0.0047207913449952565,before_matching
pathology_group,pathology_group=SOLID_PSEUDOPAPILLARY,categorical,0.05732484076433121,0.060291060291060294,-0.012608248854629488,0.012608248854629488,0.9538029032901153,0.0029662195267290414,before_matching
tumor_size_mm,tumor_size_mm,numeric,31.841401273885353,32.77110187110187,-0.04941298200508145,0.04941298200508145,0.9151510463568359,0.07826714514612598,before_matching
