analysis,priority,outcome,wins,losses,resolved,conditional_resolution,overall_resolution
primary_exact_day,1,Mortality within 90 days,1,1,2,0.007751937984496124,0.007751937984496124
primary_exact_day,2,Major complications,32,19,51,0.19921875,0.19767441860465115
primary_exact_day,3,Clinically relevant pancreatic fistula,29,27,56,0.2731707317073171,0.21705426356589147
primary_exact_day,4,Readmission,10,7,17,0.11409395973154363,0.06589147286821706
primary_exact_day,5,"Length of stay, exact completed days",89,32,121,0.9166666666666666,0.4689922480620155
los_margin_1_day,1,Mortality within 90 days,1,1,2,0.007751937984496124,0.007751937984496124
los_margin_1_day,2,Major complications,32,19,51,0.19921875,0.19767441860465115
los_margin_1_day,3,Clinically relevant pancreatic fistula,29,27,56,0.2731707317073171,0.21705426356589147
los_margin_1_day,4,Readmission,10,7,17,0.11409395973154363,0.06589147286821706
los_margin_1_day,5,Length of stay (1-day margin),74,24,98,0.7424242424242424,0.3798449612403101
los_margin_2_days,1,Mortality within 90 days,1,1,2,0.007751937984496124,0.007751937984496124
los_margin_2_days,2,Major complications,32,19,51,0.19921875,0.19767441860465115
los_margin_2_days,3,Clinically relevant pancreatic fistula,29,27,56,0.2731707317073171,0.21705426356589147
los_margin_2_days,4,Readmission,10,7,17,0.11409395973154363,0.06589147286821706
los_margin_2_days,5,Length of stay (2-day margin),51,18,69,0.5227272727272727,0.26744186046511625
categorical_los,1,Mortality within 90 days,1,1,2,0.007751937984496124,0.007751937984496124
categorical_los,2,Major complications,32,19,51,0.19921875,0.19767441860465115
categorical_los,3,Clinically relevant pancreatic fistula,29,27,56,0.2731707317073171,0.21705426356589147
categorical_los,4,Readmission,10,7,17,0.11409395973154363,0.06589147286821706
categorical_los,5,"Length of stay category (<=7, 8-13, >13 days)",48,16,64,0.48484848484848486,0.24806201550387597
no_los,1,Mortality within 90 days,1,1,2,0.007751937984496124,0.007751937984496124
no_los,2,Major complications,32,19,51,0.19921875,0.19767441860465115
no_los,3,Clinically relevant pancreatic fistula,29,27,56,0.2731707317073171,0.21705426356589147
no_los,4,Readmission,10,7,17,0.11409395973154363,0.06589147286821706
graded_2_day,1,Mortality within 90 days,1,1,2,0.007751937984496124,0.007751937984496124
graded_2_day,2,"Clavien-Dindo severity (none, III, IV)",32,20,52,0.203125,0.20155038759689922
graded_2_day,3,"Pancreatic fistula severity (none, B, C)",29,29,58,0.28431372549019607,0.2248062015503876
graded_2_day,4,Readmission,10,5,15,0.10273972602739725,0.05813953488372093
graded_2_day,5,Length of stay (2-day margin),50,18,68,0.5190839694656488,0.26356589147286824
